Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:34:24.359598
Creating the simulation system...

System Time is: 2023-03-26 16:34:36.035428
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
748000,-40373.781091197176
749000,-39394.46646822893
750000,-39875.546439443206
751000,-39796.44666185857
752000,-40311.776374393856
753000,-39115.157718659466
754000,-40168.428116350835
755000,-40264.73343966034
756000,-39969.69769465217
757000,-40407.24384495229
758000,-40429.835117145674
759000,-39557.44999098207
760000,-39686.7328702306
761000,-40152.839955472955
762000,-39756.8170081876
763000,-40357.037602126315
764000,-39662.98045466559
765000,-39585.341703502185
766000,-40104.43913492064
767000,-40290.59290054132
768000,-40612.72614398273
769000,-39417.2666258041
770000,-39175.127418171454
771000,-39166.53032371387
772000,-39954.722631281686
773000,-39880.16214383715
774000,-40182.393290703854
775000,-40133.25116615398
776000,-39243.88182567888
777000,-39973.411397741715
778000,-39333.5247184341
779000,-39731.412919835624
780000,-39389.73175274188
781000,-39543.95617611808
782000,-39631.569631052276
783000,-40121.35577085214
784000,-40394.793025457184
785000,-38899.10179337477
786000,-39641.273266634904
787000,-39927.15952522878
788000,-40146.04315843577
789000,-39898.55122565522
790000,-39731.295158034074
791000,-39936.82881599635
792000,-39895.19435647146
793000,-39662.172798984
794000,-39800.14998976908
795000,-40066.51589188223
796000,-39584.042486892344
797000,-39476.44813828221
798000,-39879.38142109283
799000,-39236.513083831785
800000,-39383.89377180094
801000,-39843.53107375615
802000,-39889.86714977958
803000,-39811.48645114672
804000,-39165.22710998946
805000,-39946.8972887234
806000,-39811.47750654711
807000,-39833.92803470342
808000,-39819.02345970378
809000,-39936.65097104502
810000,-39223.74619346435
811000,-39790.8063445226
812000,-39991.12607204518
813000,-39980.88128924775
814000,-39757.926190663915
815000,-39651.19553972552
816000,-40055.65849689553
817000,-40235.17787304078
818000,-39331.053436625836
819000,-39267.5357876709
820000,-39696.7269450717
821000,-39972.10176642645
822000,-39909.458273021504
823000,-39770.953933536286
824000,-40069.534738513976
825000,-40096.39671666945
826000,-39894.14607781374
827000,-40706.65565773012
828000,-40263.78793716891
829000,-39973.864427805
830000,-39663.38270110854
831000,-40169.78520195414
832000,-39460.66910246771
833000,-39961.84282615718
834000,-39444.357725106944
835000,-40220.99812119467
836000,-39846.81296936196
837000,-39793.2404691589
838000,-39689.78725508786
839000,-39611.18856761427
840000,-39381.775659390216
841000,-40098.98728564716
842000,-40057.362095091274
843000,-40105.56040018441
844000,-39690.49212089641
845000,-40066.481313139244
846000,-39824.79603665798
847000,-40191.22486355611
848000,-39904.67250004768
849000,-39563.937989311664
850000,-39485.417541796036
851000,-39601.41549428417
852000,-39877.03199665165
853000,-40020.051485485645
854000,-39988.439473730265
855000,-39920.010557210655
856000,-40306.87797415587
857000,-39966.82592486536
858000,-39678.67122966541
859000,-40577.648328661395
860000,-40622.6887991964
861000,-39915.19418007384
862000,-39813.58057237131
863000,-39947.352118326635
864000,-39910.635412429365
865000,-39093.003999943954
866000,-39506.15505904496
867000,-39156.84263895861
868000,-39934.60373766851
869000,-40235.34860158937
870000,-40641.46302567668
871000,-40449.25808615811
872000,-40074.43370770135
873000,-39867.88859486748
874000,-40017.4229255813
875000,-39860.57089118962
876000,-39861.800005152785
877000,-39755.03307501713
878000,-39586.436632257144
879000,-39809.76686833479
880000,-40108.14096120482
881000,-39777.77263169634
882000,-39850.99092400665
883000,-39953.02652855782
884000,-39869.19108672264
885000,-39276.57975539084
886000,-39626.643411746736
887000,-39928.50895717375
888000,-40249.66579578503
889000,-39904.526940047304
890000,-39290.02238969073
891000,-40143.17866987719
892000,-39951.02170532249
893000,-39424.872115908845
894000,-39905.06525545797
895000,-40136.408823480015
896000,-40925.11142369306
897000,-40563.22935771366
898000,-40395.915059507155
899000,-40399.56468051206
900000,-39961.51430506969
901000,-39078.48727782107
902000,-39637.88002671143
903000,-39571.25830726008
904000,-39973.419418871956
905000,-39990.244103443416
906000,-39899.85581391235
907000,-39901.74420072889
908000,-40480.84788952283
909000,-39333.07488566251
910000,-39534.583834128
911000,-39767.70722766503
912000,-39523.87082721817
913000,-39883.96670687988
914000,-40237.631519001196
915000,-40315.296591673
916000,-40000.43881430909
917000,-39612.33388362345
918000,-39747.85279935165
919000,-39650.64679017661
920000,-39882.37509901753
921000,-39814.031111038705
922000,-39111.03993633523
923000,-39340.922115252215
924000,-39822.93134969255
925000,-40280.27139398174
926000,-40154.95148374447
927000,-40136.33509646217
928000,-40013.84285006304
929000,-39655.65198307361
930000,-40003.48278504517
931000,-39275.00594558801
932000,-39560.84662552236
933000,-40089.10926328307
934000,-40501.40236059422
935000,-40089.67721150775
936000,-39432.31882466392
937000,-40324.74981353681
938000,-40099.59923672854
939000,-39999.539957048684
940000,-40196.07410463365
941000,-40068.316757573964
942000,-40596.62426933168
943000,-40019.9082759045
944000,-39785.663846552256
945000,-40057.33438802425
946000,-40330.28028675841
947000,-39718.8842665236
948000,-40223.88045912587
949000,-40222.38859537503
950000,-40324.695665830244
951000,-40028.25859607603
952000,-39958.92198211508
953000,-39664.992056166404
954000,-39463.49615866616
955000,-40101.74077127806
956000,-40321.59699084399
957000,-39850.10782544047
958000,-40113.37696287991
959000,-40072.65743669029
960000,-39714.68884212931
961000,-40451.61709672703
962000,-40087.84273688188
963000,-40035.08268992715
964000,-40563.479900211314
965000,-39978.49562578405
966000,-40098.664132745485
967000,-40105.2772666269
968000,-40352.73802434746
969000,-39715.15100636797
970000,-39577.5501051709
971000,-40147.181703362075
972000,-40203.07862765227
973000,-40407.53880375126
974000,-40778.10487123653
975000,-40007.44623813423
976000,-40126.97044188437
977000,-39597.5713919609
978000,-39769.28590785261
979000,-40223.940871048486
980000,-39692.211457086916
981000,-39743.71316157152
982000,-39095.379359299055
983000,-39828.46941932983
984000,-39566.720774421054
985000,-39663.078245076686
986000,-39625.358629091184
987000,-39596.86461356419
988000,-39891.20290810892
989000,-40305.33773338405
990000,-39665.58867131231
991000,-40054.443305401066
992000,-39695.412409692624
993000,-39166.68566031766
994000,-40153.730989373114
995000,-40114.54382597297
996000,-39684.36185015208
997000,-40043.718142934275
998000,-40301.4710810252
999000,-39579.01472567039
1000000,-40452.57960098978
1001000,-40225.64726160208
1002000,-39944.19073551727
1003000,-39398.67247348785
1004000,-39767.09651891633
1005000,-40173.03851630814
1006000,-40033.20200958723
1007000,-40036.31959518251
1008000,-40781.976420633495
1009000,-39890.63811384728
1010000,-39726.39768645362

System Time is: 2023-03-26 19:26:40.358846
Finished simulation.

Total simulation time:  2:52:15.999248
