Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:35.701814
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));

System Time is: 2023-03-23 19:35:43.952942
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:44.732439
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
244000,-40544.16724022868,1:10:37:38
245000,-40457.686444081715,1:10:37:43
246000,-39698.56443935439,1:10:37:49
247000,-40334.194608615755,1:10:37:54
248000,-40078.62414804463,1:10:38:02
249000,-40113.49846672645,1:10:38:05
250000,-39802.9405940389,1:10:38:10
251000,-39910.25064071782,1:10:38:14
252000,-39829.54424651597,1:10:38:21
253000,-39406.940943081965,1:10:38:26
254000,-39846.61733753889,1:10:38:30
255000,-39814.27866448297,1:10:38:37
256000,-39443.140267538794,1:10:38:41
257000,-40017.507320390854,1:10:38:41
258000,-39906.19735980524,1:10:38:44
259000,-40533.22574582762,1:10:38:47
260000,-39752.53000191405,1:10:38:48
261000,-40244.41743643125,1:10:38:48
262000,-40325.261077076415,1:10:38:51
263000,-39954.33640405684,1:10:38:53
264000,-40183.19882572635,1:10:38:57
265000,-39981.5835585528,1:10:39:01
266000,-39895.0461916038,1:10:39:06
267000,-40047.508012627455,1:10:39:09
268000,-39752.98135635541,1:10:39:13
269000,-40262.255801793275,1:10:39:16
270000,-40566.04664531322,1:10:39:20
271000,-40062.97699924823,1:10:39:23
272000,-40226.954690532264,1:10:39:28
273000,-40179.173150836694,1:10:39:30
274000,-39714.45001398667,1:10:39:32
275000,-40073.069802563616,1:10:39:34
276000,-40424.86780903149,1:10:39:38
277000,-40221.90221948581,1:10:39:43
278000,-40264.62498320876,1:10:39:46
279000,-39983.149225816276,1:10:39:49
280000,-39746.64561594845,1:10:39:52
281000,-40212.84532346767,1:10:39:54
282000,-39988.876467024646,1:10:39:54
283000,-39646.470450606415,1:10:39:56
284000,-40374.76043593079,1:10:39:59
285000,-40616.711183911015,1:10:40:02
286000,-39550.280120496,1:10:40:08
287000,-39313.483526346456,1:10:40:12
288000,-40076.95847564738,1:10:40:16
289000,-39580.58980185312,1:10:40:18
290000,-39034.96552530813,1:10:40:22
291000,-40181.24104198088,1:10:40:25
292000,-39645.02484049684,1:10:40:26
293000,-39961.17552815458,1:10:40:27
294000,-39388.384869117,1:10:40:28
295000,-39667.54245030943,1:10:40:26
296000,-39775.20669781703,1:10:40:29
297000,-39947.66618586979,1:10:40:30
298000,-39856.815736677716,1:10:40:33
299000,-39535.338988626536,1:10:40:35
300000,-39759.76021000439,1:10:40:38
301000,-40206.16939240754,1:10:40:40
302000,-40103.56960361021,1:10:40:42
303000,-40278.60045048065,1:10:40:46
304000,-40396.666681877556,1:10:40:48
305000,-39882.75037944167,1:10:40:50
306000,-40284.73938123448,1:10:40:53
307000,-39622.4563750674,1:10:40:55
308000,-40141.438732242554,1:10:40:56
309000,-40544.36122908685,1:10:40:59
310000,-40277.652997022335,1:10:41:00
311000,-39687.42614241586,1:10:41:00
312000,-39745.11387205962,1:10:41:05
313000,-39808.707545655256,1:10:41:05
314000,-40388.769852470534,1:10:41:04
315000,-39979.27185433046,1:10:41:04
316000,-40344.79940214254,1:10:41:05
317000,-39875.92115093874,1:10:41:03
318000,-39989.90507332003,1:10:40:58
319000,-39860.58626424798,1:10:40:57
320000,-39898.40578368073,1:10:40:54
321000,-40491.88667194304,1:10:40:55
322000,-40135.70214286987,1:10:40:57
323000,-39831.855456817866,1:10:41:00
324000,-39909.690251868364,1:10:41:01
325000,-40294.19762147714,1:10:41:02
326000,-40016.29451699026,1:10:41:04
327000,-40330.01867408982,1:10:41:05
328000,-39967.43888620766,1:10:41:06
329000,-39549.70055891205,1:10:41:07
330000,-39071.89237909218,1:10:41:08
331000,-39444.036073164694,1:10:41:08
332000,-39391.52632940143,1:10:41:06
333000,-39591.82419699697,1:10:41:04
334000,-39614.22973097658,1:10:41:02
335000,-39764.973676230424,1:10:41:01
336000,-40227.46586200384,1:10:40:59
