
Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:42:53 2022
Timers Off: Thu Nov  3 12:42:59 2022

Wall Time:        5.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Aia Write                   :      0.150u      0.017s      0.016w      1 calls
DFMP2 iaB                           :      2.450u      0.100s      0.285w      1 calls
| DFMP2 Metric                      :      1.283u      0.000s      0.128w      1 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w      6 calls
| DFMP2 Aia Read                    :      0.033u      0.000s      0.005w      1 calls
| DFMP2 (ia|A)(A|Q)                 :      0.533u      0.000s      0.054w      1 calls
| DFMP2 Bia Write                   :      0.100u      0.033s      0.016w      1 calls
| DFMP2 Bia Read                    :      0.000u      0.017s      0.004w      1 calls
| DFMP2 (ia|B)(B|Q)                 :      0.367u      0.000s      0.056w      1 calls
| DFMP2 Cia Write                   :      0.067u      0.033s      0.015w      1 calls
DFMP2 aiB                           :      0.117u      0.033s      0.022w      1 calls
DFMP2 Tij                           :      5.183u      0.533s      0.750w      1 calls
| DFMP2 Bia Read                    :      0.033u      0.017s      0.006w      2 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.004w      1 calls
| DFMP2 I                           :      1.533u      0.250s      0.268w      1 calls
| DFMP2 T2                          :      0.267u      0.017s      0.027w      1 calls
| DFMP2 G                           :      2.367u      0.017s      0.265w      1 calls
| DFMP2 Pab                         :      0.717u      0.133s      0.128w      1 calls
| DFMP2 Gia Write                   :      0.100u      0.033s      0.020w      1 calls
DFMP2 Tab                           :      2.217u      0.250s      0.339w      1 calls
| DFMP2 Bai Read                    :      0.017u      0.000s      0.004w      1 calls
| DFMP2 Qai Read                    :      0.017u      0.000s      0.002w      1 calls
| DFMP2 I                           :      1.467u      0.183s      0.249w      1 calls
| DFMP2 T2                          :      0.333u      0.017s      0.033w      1 calls
| DFMP2 Pij                         :      0.250u      0.000s      0.025w      1 calls
DFMP2 gamma                         :      0.600u      0.000s      0.061w      1 calls
| DFMP2 Gia Read                    :      0.033u      0.000s      0.004w      1 calls
| DFMP2 Cia Read                    :      0.033u      0.000s      0.005w      1 calls
| DFMP2 g                           :      0.467u      0.000s      0.047w      1 calls
DFMP2 Gia                           :      0.367u      0.050s      0.042w      1 calls
| DFMP2 Gia Read                    :      0.050u      0.017s      0.005w      1 calls
| DFMP2 aiG Write                   :      0.067u      0.000s      0.008w      1 calls
DFMP2 AB^x                          :      0.183u      0.017s      0.019w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
DFMP2 Amn^x                         :     26.300u      0.183s      2.830w      1 calls
| Libint2ERI::Libint2ERI            :      2.000u      0.083s      0.321w      6 calls
DFMP2 L                             :     12.817u      0.383s      1.637w      1 calls
| Libint2ERI::Libint2ERI            :      2.000u      0.033s      0.333w      6 calls
DFMP2 P                             :      0.017u      0.000s      0.001w      1 calls
DFMP2 W                             :      0.033u      0.000s      0.003w      1 calls
DFMP2 Z                             :     47.617u      1.100s      5.041w      1 calls
| DFH: sparsity prep                :      0.867u      0.033s      0.104w      1 calls
| | Libint2ERI::Libint2ERI          :      0.583u      0.033s      0.061w      1 calls
| DFH: initialize()                 :     15.300u      0.450s      1.608w      1 calls
| | Libint2ERI::Libint2ERI          :      0.650u      0.050s      0.071w      7 calls
| | DFH: AO Construction            :      4.433u      0.183s      0.460w      1 calls
| | DFH: AO-Met. Contraction        :      9.100u      0.117s      0.952w      1 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     30.833u      0.583s      3.255w     12 calls
| | DFH: compute_JK()               :     30.817u      0.583s      3.254w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      5.833u      0.067s      0.583w     12 calls
| | | DFH: compute_K                :     23.333u      0.233s      2.477w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
Libint2ERI::Libint2ERI              :      0.833u      0.000s      0.505w      7 calls

**************************************************************************************
