Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:33:17.390083
Creating the simulation system...

System Time is: 2023-03-26 16:33:25.836066
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
719000,-39177.72584056444
720000,-40572.99810483188
721000,-40111.45418943295
722000,-39567.62943685897
723000,-40479.120069345794
724000,-40101.72854136725
725000,-40105.87323559079
726000,-39947.37897354182
727000,-39693.58552838194
728000,-40176.90291228467
729000,-40112.926619223705
730000,-40804.907950177425
731000,-40421.82033646278
732000,-39924.914804033106
733000,-40397.15382727186
734000,-41004.35139355122
735000,-39885.113000438054
736000,-39637.0232198803
737000,-40033.556764491004
738000,-40757.08601165576
739000,-39999.94667180102
740000,-39591.57106942871
741000,-39930.89411797734
742000,-40396.65701662357
743000,-40097.472467184445
744000,-39660.95904274877
745000,-40206.1069244057
746000,-40081.406057102955
747000,-39401.78579255772
748000,-40090.399727682
749000,-40892.04436980348
750000,-40175.51746295631
751000,-40015.182281952526
752000,-39777.73131322076
753000,-39334.48612025015
754000,-39422.0249583987
755000,-40064.92221885912
756000,-40558.77084935988
757000,-39846.544953077144
758000,-40287.67235729395
759000,-39838.82974199856
760000,-39663.55369388033
761000,-40302.514002097036
762000,-40148.68109770215
763000,-40000.165153875234
764000,-40038.638823853194
765000,-39797.90615775625
766000,-40045.9022343876
767000,-40122.97420803674
768000,-39654.90660471651
769000,-39673.8833447315
770000,-40098.13834253397
771000,-39818.39206967771
772000,-39564.87976857001
773000,-39430.852718379996
774000,-40097.30649809496
775000,-39858.58631697453
776000,-39971.76444630818
777000,-39987.35323790812
778000,-40079.05252262245
779000,-39403.3248262151
780000,-40221.86628491271
781000,-39808.25005760268
782000,-40425.330885766016
783000,-39939.743135232544
784000,-39706.71590385582
785000,-39783.58021057674
786000,-39782.4550816478
787000,-39855.564878347555
788000,-40188.765993711546
789000,-39798.48257829669
790000,-39913.91773736939
791000,-39846.95401040536
792000,-40111.210634516596
793000,-40016.07340173617
794000,-39311.94090411236
795000,-39346.82001538637
796000,-40202.576412635965
797000,-39583.959418378
798000,-40358.75636519506
799000,-39748.757634554524
800000,-39471.969534787204
801000,-39820.23043289571
802000,-39710.87077205405
803000,-40145.25630832616
804000,-39662.37957501601
805000,-39424.52121590499
806000,-39938.08577781021
807000,-40537.29336052206
808000,-39908.649742580455
809000,-40091.49988275336
810000,-39981.31831875607
811000,-40135.40302695838
812000,-39496.077232208736
813000,-39751.4936657315
814000,-40445.26133581925
815000,-40403.69977911908
816000,-40657.28083691455
817000,-40177.45263042277
818000,-39739.129715350195
819000,-40197.36048295153
820000,-40324.15746561209
821000,-40424.82258784277
822000,-39496.56443685401
823000,-40407.17948532125
824000,-39767.93385701022
825000,-40382.93720751698
826000,-40831.368791060486
827000,-40584.568040724625
828000,-39392.06589085524
829000,-39997.80307903187
830000,-40026.99195043603
831000,-40158.339882583445
832000,-39846.12603701727
833000,-39797.79067308623
834000,-39936.21921592937
835000,-40384.96999397387
836000,-40416.104440242656
837000,-40100.80999267228
838000,-40426.99871834695
839000,-40082.09563625774
840000,-40113.48841652721
841000,-39709.0447718013
842000,-40074.02738441374
843000,-39956.7089521505
844000,-40042.142919453225
845000,-40568.250924713764
846000,-40505.8680628553
847000,-40297.27735449679
848000,-40316.72950275258
849000,-39983.87350462511
850000,-40461.99714244115
851000,-39600.22632104991
852000,-39637.90423715865
853000,-40323.45004427172
854000,-40143.62790903526
855000,-39773.14626376641
856000,-39509.48190206812
857000,-39895.853128713265
858000,-39940.03375417378
859000,-39500.6905855435
860000,-39488.4323818573
861000,-39171.66302335454
862000,-40216.33640079363
863000,-40132.466087451015
864000,-39929.275007273915
