r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom
9.36847,-0.02034,0.00352,-35.53759711546094,0.006478840785989807,35.51725711546094,0.00737331526046493,-35.4824812195393,0.0064780169080027,-0.0551158959216395,0.00010331926169
9.43971,-0.0139,0.00352,-35.26864196993171,0.0063697993143824955,35.25474196993171,0.007277688046729381,-35.216182560547615,0.0063690498683596,-0.05245940938409,9.770915953108362e-05
9.51095,-0.01292,0.00355,-35.00472054999649,0.006239866286459017,34.99180054999649,0.00717902718151198,-34.95474924621156,0.0062391916470576,-0.0499713037849304,9.175436869444248e-05
9.5822,-0.01012,0.00352,-34.73508596144492,0.006093669691866205,34.72496596144492,0.007037272931581436,-34.687604496290405,0.0060930650993431,-0.0474814651545213,8.583710582166964e-05
9.65344,-0.00551,0.00348,-34.459405046339235,0.00596319097865094,34.453895046339234,0.006904349835275147,-34.41430598845543,0.0059626425960313,-0.0450990578838031,8.086977097208591e-05
9.72468,-0.0052,0.00346,-34.21472043140782,0.005831153145669332,34.20952043140782,0.006780409059064899,-34.17172737187384,0.0058306660567129,-0.0429930595339767,7.536805255136006e-05
9.79593,-0.00086,0.00343,-33.935681180786894,0.005699880933090664,33.93482118078689,0.00665233362448175,-33.89500209327451,0.0056994405597636,-0.0406790875123795,7.085165581747803e-05
9.86717,-0.00138,0.00343,-33.69172736723881,0.005578230290833595,33.690347367238815,0.006548400810699774,-33.652924965826045,0.0055778323370109,-0.0388024014127696,6.663030668534191e-05
9.93841,-0.00104,0.00342,-33.43135475519023,0.005433623588156733,33.430314755190224,0.006420332179706377,-33.394419820883336,0.0054332624176491,-0.0369349343068884,6.264821414144798e-05
10.00966,0.00063,0.00337,-33.183699476975384,0.005327279316676337,33.184329476975385,0.006303713581523792,-33.1485812871016,0.0053269573061668,-0.0351181898737824,5.85728278611613e-05
10.0809,0.00352,0.00332,-32.93784956639044,0.00519821454181423,32.94136956639044,0.00616796841940107,-32.90439673026273,0.0051979210466895,-0.033452836127706,5.523780509094555e-05
10.15214,0.00565,0.00332,-32.70466990796658,0.005106847330803344,32.710319907966586,0.00609116488531818,-32.67279793119037,0.0051065820259837,-0.0318719767762168,5.205451021240152e-05
10.22339,0.00645,0.00328,-32.47671854016431,0.00500616332822346,32.483168540164314,0.005984987156949411,-32.44621543804835,0.0050059202597623,-0.0305031021159666,4.933175195281143e-05
10.29463,0.0074,0.00332,-32.23364337069671,0.004887449988456197,32.24104337069671,0.005908431889229196,-32.20460220322284,0.0048872282236564,-0.029041167473872,4.655834572654321e-05
10.36587,0.00506,0.00332,-32.0099179728056,0.004774616724108868,32.0149779728056,0.005815441931800205,-31.98224198211857,0.0047744172769855,-0.0276759906870342,4.3640890944838205e-05
10.43711,0.00624,0.00328,-31.789684492146733,0.00467427757579338,31.79592449214673,0.005710277651355041,-31.7632171520884,0.0046740978120235,-0.0264673400583308,4.0993892252015984e-05
10.50836,0.0041,0.00327,-31.565446921438156,0.004556977489276674,31.569546921438157,0.005608827313955595,-31.54027694563531,0.0045568158921918,-0.0251699758028458,3.837658716702949e-05
10.5796,0.00683,0.00321,-31.368281939040838,0.00448259733804073,31.37511193904084,0.005513418077291966,-31.344102094534264,0.0044824503933137,-0.0241798445065723,3.6295543689081024e-05
10.65084,0.0044,0.00321,-31.14202746226795,0.004379671003695181,31.14642746226795,0.005430066123041998,-31.118976742205454,0.0043795371591494,-0.0230507200624972,3.4239921699102134e-05
10.72209,0.0027,0.00319,-30.948663672849612,0.004288764156022665,30.951363672849613,0.005345053599916918,-30.926479058822043,0.0042886406140982,-0.0221846140275712,3.255255891960647e-05
10.79333,0.00443,0.00317,-30.73986765298296,0.0042017975566161275,30.744297652982958,0.005263459195888694,-30.71869992329806,0.0042016873573174,-0.0211677296848984,3.043120346595605e-05
10.86457,0.00347,0.00315,-30.5361679168766,0.004111841160409647,30.5396379168766,0.005179743017606081,-30.515942732233047,0.0041117418818718,-0.0202251846435549,2.857315698871942e-05
10.93582,0.00131,0.00311,-30.338214822983446,0.004024380615032388,30.339524822983446,0.0050860337528027145,-30.318856537134497,0.004024291366803,-0.0193582858489482,2.6801673890042923e-05
11.00706,0.00117,0.00311,-30.149276358269482,0.003943218502184356,30.15044635826948,0.0050220585576005615,-30.13067981991115,0.0039431372148875,-0.0185965383583291,2.531917333330277e-05
11.0783,8e-05,0.00307,-29.962557478727906,0.003872378039343782,29.962637478727906,0.004941681058060302,-29.94473852893475,0.0038723047484275,-0.0178189497931553,2.382466994162853e-05
11.14955,0.00038,0.00299,-29.763207466437603,0.0037928760571567907,29.763587466437603,0.004829700693102342,-29.746156998914632,0.0037928106594092,-0.0170504675229698,2.227300664911017e-05
11.22079,0.00055,0.00298,-29.57457817418918,0.0037202146241789953,29.57512817418918,0.004766591743578976,-29.558238095429164,0.0037201550387644,-0.0163400787600169,2.105558147162489e-05
11.29203,-0.00106,0.00295,-29.392879732780912,0.00364688018991768,29.391819732780913,0.004690654018323459,-29.377171755720887,0.0036468264442871,-0.0157079770600255,1.979911266498642e-05
11.36327,-0.00253,0.00295,-29.207597243074314,0.0035696406327273326,29.205067243074314,0.004630856750841899,-29.192535208354176,0.0035695926171342,-0.015062034720137,1.8514710880965566e-05
11.43452,-0.0029,0.00288,-29.02175588049676,0.0035095616910509747,29.01885588049676,0.004539980535563185,-29.00733266637764,0.0035095185075903,-0.014423214119119,1.7410002117428436e-05
11.50576,-0.00406,0.00291,-28.837582104779155,0.003425795057973364,28.833522104779156,0.004494905091237714,-28.8237373120926,0.0034257557723506,-0.013844792686555,1.6406323209941106e-05
11.577,-0.00253,0.00288,-28.666127955451277,0.0033740104495746485,28.663597955451277,0.00443602823636628,-28.65281328479901,0.0033739749904536,-0.013314670652267,1.5468601505995652e-05
11.64825,-0.00393,0.00285,-28.492852643970632,0.0033208250040772914,28.488922643970632,0.004376114567479346,-28.480044917146618,0.0033207929892631,-0.012807726824015,1.45818437101398e-05
11.71949,-0.00479,0.00285,-28.31989862520049,0.003243911308250592,28.31510862520049,0.004318038973399391,-28.30760458006124,0.0032438826008383,-0.0122940451392505,1.3647262531820036e-05
11.79073,-0.00323,0.00283,-28.15737689057857,0.0032047424920511234,28.15414689057857,0.004275426813823159,-28.145511436839712,0.0032047160057054,-0.0118654537388577,1.302931823512817e-05
11.86198,-0.0043,0.00278,-27.98780257983445,0.0031363330528412334,27.98350257983445,0.004191060130604715,-27.976406136454976,0.003136308789877,-0.0113964433794763,1.2336648032468653e-05
11.93322,-0.00392,0.00277,-27.823802811786372,0.0030885931950652332,27.81988281178637,0.004148771857381804,-27.812825822661296,0.0030885712089358,-0.0109769891250767,1.1653837827816764e-05
12.00446,-0.00297,0.00274,-27.656750243713,0.0030279920322047477,27.653780243712998,0.004083666948600907,-27.646214680036444,0.0030279721931578,-0.0105355636765562,1.0961047330503214e-05
12.07571,-0.00454,0.00274,-27.4963434882671,0.0029791512868732424,27.491803488267102,0.00404758476008576,-27.486180796031128,0.0029791330145995,-0.010162692235973,1.0434145954103787e-05
12.14695,-0.00063,0.00276,-27.340118977300467,0.0029297858696175796,27.339488977300466,0.0040250770479347145,-27.330311406394927,0.0029297689942612,-0.0098075709055406,9.943946729188618e-06
12.21819,-0.00397,0.00272,-27.180438055895404,0.0028810541919135416,27.176468055895405,0.003962180366508142,-27.17098216624685,0.0028810388821611,-0.0094558896485546,9.39234893466632e-06
12.28944,-0.00268,0.00272,-27.0216019100894,0.002822832317424124,27.0189219100894,0.003920048761468924,-27.012506819099947,0.0028228183239452,-0.0090950909894538,8.888323422320642e-06
12.36068,-0.00283,0.00266,-26.8705667128525,0.0027781584044082757,26.8677367128525,0.00384626625703218,-26.861785418114867,0.0027781454416325,-0.0087812947376331,8.486761508145436e-06
12.43192,-0.00258,0.0027,-26.717678538647334,0.002732409828854102,26.715098538647336,0.0038413621897470827,-26.70921850938312,0.0027323979604145,-0.008460029264214,8.053492483652238e-06
12.50316,0.0001,0.00268,-26.563259428239274,0.002690322013214671,26.563359428239274,0.0037973981269795033,-26.55511311396002,0.0026903111640869,-0.0081463142792558,7.640364967059095e-06
12.57441,0.00254,0.00265,-26.41464591703076,0.002652431606519901,26.41718591703076,0.003749385739993385,-26.406781620913588,0.0026524215241937,-0.0078642961171718,7.313361724447153e-06
12.64565,-0.00178,0.00268,-26.2661574437956,0.002607815627872374,26.2643774437956,0.0037393986614127394,-26.2585718975756,0.0026078063662073,-0.0075855462199984,6.950204605717201e-06
12.71689,0.00028,0.00271,-26.117650845091156,0.0025587318591403473,26.117930845091156,0.0037270911884443904,-26.110342866128104,0.0025587233232231,-0.0073079789630515,6.609249121898815e-06
12.78814,0.00276,0.00264,-25.97862653247455,0.00252980317498041,25.98138653247455,0.0036564332489655766,-25.971555029989457,0.002529795224231,-0.0070715024850938,6.342523077383626e-06
