Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:28.604364
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));

System Time is: 2023-03-23 19:35:36.788042
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:37.568083
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
366000,-39405.20308698644,1:9:50:01
367000,-40359.69142850848,1:9:49:57
368000,-40166.83825641198,1:9:49:54
369000,-39928.31015591621,1:9:49:48
370000,-40144.0329100933,1:9:49:45
371000,-40147.278999451504,1:9:49:41
372000,-39746.26492910173,1:9:49:36
373000,-39783.76893469175,1:9:49:32
374000,-39886.5160324606,1:9:49:28
375000,-40409.77057311978,1:9:49:25
376000,-40304.454807046364,1:9:49:21
377000,-39979.17899856443,1:9:49:16
378000,-40410.50901674385,1:9:49:12
379000,-39729.8702864215,1:9:49:09
380000,-39850.65559120635,1:9:49:05
381000,-39668.326437842465,1:9:49:01
382000,-39256.41272026409,1:9:48:57
383000,-38783.505118448855,1:9:48:53
384000,-39548.11663884159,1:9:48:48
385000,-40250.21512179042,1:9:48:43
386000,-39818.36588343854,1:9:48:40
387000,-39802.91737043642,1:9:48:35
388000,-39914.96133927388,1:9:48:32
389000,-39824.492424236276,1:9:48:29
390000,-39920.260239308474,1:9:48:29
391000,-39371.13791808695,1:9:48:27
392000,-39950.2974986441,1:9:48:23
393000,-40423.667469665685,1:9:48:20
394000,-39986.805569959295,1:9:48:17
395000,-40571.29902515879,1:9:48:14
396000,-40152.677202042636,1:9:48:10
397000,-40187.327714043015,1:9:48:07
398000,-39691.09040925163,1:9:48:05
399000,-39422.03428459316,1:9:48:04
400000,-39572.01524517931,1:9:48:04
bubble radius: 0.1292 A

System Time is: 2023-03-23 20:35:15.900296
Starting equilibration...

401000,-39525.23825994322,1:9:47:38
402000,-39477.21480559099,1:9:47:12
403000,-40186.34143753007,1:9:46:45
404000,-39688.65487409178,1:9:46:16
405000,-39825.60349941607,1:9:45:47
406000,-39691.96693411771,1:9:45:18
407000,-39780.33692505404,1:9:44:51
408000,-39564.03578236945,1:9:44:23
409000,-39603.21788402825,1:9:43:54
410000,-39285.57415365349,1:9:43:26
411000,-39401.99264279042,1:9:42:59
412000,-39309.00028918924,1:9:42:32
413000,-39630.06319213705,1:9:42:04
414000,-39538.80608726268,1:9:41:37
415000,-39920.447509642894,1:9:41:11
416000,-39828.33705979405,1:9:40:44
417000,-40009.62332474673,1:9:40:16
418000,-40050.75332739526,1:9:39:49
419000,-39721.23097629319,1:9:39:23
420000,-39766.31545928352,1:9:38:58
421000,-39935.59351250973,1:9:38:34
422000,-39856.90915490502,1:9:38:08
423000,-40258.034089345456,1:9:37:44
424000,-39706.57835088327,1:9:37:20
425000,-39341.253832384,1:9:36:55
426000,-38880.369683459634,1:9:36:29
427000,-39796.31161701825,1:9:36:03
428000,-39864.50830508498,1:9:35:38
429000,-39749.080589046454,1:9:35:12
430000,-39906.30262600325,1:9:34:48
431000,-40562.21837971937,1:9:34:22
432000,-39813.54498645918,1:9:33:57
433000,-40151.101601949995,1:9:33:31
434000,-39949.782696465074,1:9:33:06
435000,-40257.12702729251,1:9:32:41
